URL|Products|Category|Brand|Service_Centre_Name|Contact_Person|Address|Pincode|E-mail|Website|State|City|Latitude|Longitude|std_code|Phone1|Phone2|Mobile1|Mobile2|Mobile3|Mobile4
https://edge.canon.co.in/service-networks|professional camcorder|master service center|Canon|Level IV Camera Service Centre|Mrs. K Rukmini Srinivas|No3, 3rd Floor, Salarpuria Windsor,Ulsoor Road|560042|customersupport@canon.co.in||Karnataka|Bangalore|12.9755195|77.617655| ||||||
https://edge.canon.co.in/service-networks|professional camcorder|master service center|Canon|Level IV Camera Service Centre|Mrs. Sonal Behl|Unit No. - 214 To 218, 2Nd Floor, Narain Manzil, Barakhamba Road|110001|customersupport@canon.co.in||Delhi/NCR|Delhi|28.629368|77.223847| ||||||
https://edge.canon.co.in/service-networks|professional camcorder|master service center|Canon|Level IV Camera Service Centre||4th Floor, 4A, Abanindranath Sarani (Camac Street)|700017|customersupport@canon.co.in||West Bengal|Kolkata|22.546133|88.352605| ||||||
https://edge.canon.co.in/service-networks|professional camcorder|master service center|Canon|Level IV Camera Service Centre||502, 5th Floor 194, Natraj By Rustomjee, Junction of Andheri Kurla Road and Western Express Highway|400064|customersupport@canon.co.in||Maharashtra|Mumbai|19.1164748|72.854374| ||||||
https://edge.canon.co.in/service-networks|professional camcorder|master service center|Canon|Level IV Camera Service Centre|Mrs. Sonal Behl|Unit No. - 214 To 218, 2nd Floor, Narain Manzil, Barakhamba Road|110001|customersupport@canon.co.in||Delhi|Delhi|28.629368|77.223847| ||||||
https://edge.canon.co.in/service-networks|professional camcorder|master service center|Canon|Level IV Camera Service Centre||3rd Floor imperial trade center, MG Road Cochin|682035|customersupport@canon.co.in||Kerala|Cochin|9.9828783|76.282003| ||||||
https://edge.canon.co.in/service-networks|professional camcorder|master service center|Canon|Level IV Camera Service Centre||“SKCL” Infinite Towers,8th Floor, Plot No – A21 & A22,Thiru-Vi-Ka Industrial Estate, Guindy, Chennai – 600032|600032|customersupport@canon.co.in||Tamil Nadu|Chennai|13.0127159|80.200938| ||||||
https://edge.canon.co.in/service-networks|professional camcorder|Camera Collection Point|Canon|Mehak Peripherals|Mr. Lalit Arora|106 1st Floor,Padma Tower 1 Rajendra Place|110008|cccdel.ncr@gmail.com||Delhi/NCR|Delhi|28.6451836|77.178038| ||||||
https://edge.canon.co.in/service-networks|professional camcorder|Camera Collection Point|Canon|Tez-X Automation|Mr. Nishan Singh|304- 3rd Floor; Bajaj House; Building 97; Nehru Place; New Delhi -110019|110019|canonasc.delhi@gmail.com||Delhi|Delhi|28.5479938|77.251786| ||||||
https://edge.canon.co.in/service-networks|professional camcorder|Camera Collection Point|Canon|Tez-X Automation|Mr. Nishan Singh|304- 3rd Floor; Bajaj House; Building 97; Nehru Place; New Delhi -110019|110019|canonasc.delhi@gmail.com||Delhi/NCR|Delhi|28.5479938|77.251786| ||||||
